"dS_model","PairLabel","TaxonPair","estimate","SE","p.value","sig"
"M0 (no dS)","Coccomyxa","Coccomyxa",-0.181043406563288,0.166351777140446,0.276656751914467,"ns"
"M0 (no dS)","Symbiochloris","Symbiochloris",1.38598766435477,0.166351777140446,1.99898370902719e-16,"***"
"M0 (no dS)","Trebouxia","Trebouxia_vs_Myrmecia",3.99005113761405,0.166351777140446,1.38013369551891e-105,"***"
"M0 (no dS)","Asterochloris","Asterochloris_vs_Myrmecia",0.420626168882567,0.166351777140446,0.0115713490060565,"*"
"M1 linear dS","Coccomyxa","Coccomyxa",-0.074244485171743,0.164053870773777,0.650939713910188,"ns"
"M1 linear dS","Symbiochloris","Symbiochloris",1.22726538078104,0.16463242530371,1.63573951731814e-13,"***"
"M1 linear dS","Trebouxia","Trebouxia_vs_Myrmecia",3.60110576297446,0.169832142667691,4.31626165329972e-86,"***"
"M1 linear dS","Asterochloris","Asterochloris_vs_Myrmecia",0.463172623804134,0.163649980012183,0.00472235585515702,"**"
"M1 log(dS)","Coccomyxa","Coccomyxa",-0.0536996062578177,0.163819901281245,0.743118057376141,"ns"
"M1 log(dS)","Symbiochloris","Symbiochloris",1.15783742189794,0.165149297200933,3.78504709075641e-12,"***"
"M1 log(dS)","Trebouxia","Trebouxia_vs_Myrmecia",3.59025020429021,0.169084884360775,2.68820649538414e-86,"***"
"M1 log(dS)","Asterochloris","Asterochloris_vs_Myrmecia",0.449964463472228,0.163246943943962,0.00592670320880977,"**"
"M1 ns(dS,3)","Coccomyxa","Coccomyxa",-0.0534525163902729,0.163839812367654,0.74428849167677,"ns"
"M1 ns(dS,3)","Symbiochloris","Symbiochloris",1.14298746834246,0.166046402850288,9.02556738368604e-12,"***"
"M1 ns(dS,3)","Trebouxia","Trebouxia_vs_Myrmecia",3.57815017585977,0.17000505906346,4.80787921369567e-85,"***"
"M1 ns(dS,3)","Asterochloris","Asterochloris_vs_Myrmecia",0.451063871224443,0.163316320264221,0.00582716014958927,"**"
