"Pair","GO_term","n_genes","median_K_with","median_K_without","median_diff","p_value","padj","GO_description","GO_ontology"
"Coccomyxa","GO:0003735",23,0.963537880595984,1.0565852703933,-0.0930473897973134,0.103291518950116,0.259927381296294,"structural constituent of ribosome","MF"
"Coccomyxa","GO:0005524",22,1.10182754746682,1.05459862471533,0.0472289227514913,0.323553261274498,0.535997660277688,"ATP binding","MF"
"Coccomyxa","GO:0005622",11,0.943297136722639,1.05483823082548,-0.111541094102846,0.178927503667731,0.357855007335463,"intracellular anatomical structure","CC"
"Coccomyxa","GO:0005634",19,1.02907924526183,1.05483823082548,-0.0257589855636549,0.511510231704083,0.568344701893426,"nucleus","CC"
"Coccomyxa","GO:0005737",11,1.09394095508412,1.05469916076355,0.039241794320573,0.683376684864027,0.683376684864027,"cytoplasm","CC"
"Coccomyxa","GO:0005840",19,0.963537880595984,1.05587041691568,-0.0923325363196954,0.103389912461626,0.259927381296294,"ribosome","CC"
"Coccomyxa","GO:0006412",24,0.972662053165969,1.0575990872324,-0.0849370340664328,0.103970952518518,0.259927381296294,"translation","BP"
"Coccomyxa","GO:0016020",10,1.08485897936268,1.05483823082548,0.0300207485371906,0.375198362194382,0.535997660277688,"membrane","CC"
"Coccomyxa","GO:0016021",14,1.20079213894644,1.05405500384076,0.146737135105674,0.0702191493004208,0.259927381296294,NA,NA
"Coccomyxa","GO:0055114",14,1.00958806642025,1.05563001257724,-0.0460419461569923,0.482532705471596,0.568344701893426,NA,NA
"Symbiochloris","GO:0003735",20,1.39462943450422,1.11398024334799,0.280649191156229,0.0001552071798163,0.000776035899081502,"structural constituent of ribosome","MF"
"Symbiochloris","GO:0005524",23,1.06043757358009,1.11713121421052,-0.0566936406304301,0.20952894607887,0.337414188435405,"ATP binding","MF"
"Symbiochloris","GO:0005622",10,1.32153636475892,1.11673347968136,0.204802885077563,0.0462195891317244,0.0924391782634488,"intracellular anatomical structure","CC"
"Symbiochloris","GO:0005634",18,0.943500743523169,1.11713121421052,-0.173630470687355,0.0133741845473913,0.0334354613684781,"nucleus","CC"
"Symbiochloris","GO:0005737",11,1.02104168838875,1.11713121421052,-0.0960895258217751,0.236189931904784,0.337414188435405,"cytoplasm","CC"
