"contrast","TaxonPair","estimate","SE","df","t.ratio","p.value","Metric"
"(Lichen-forming) - (Free-living)","Asterochloris_vs_Myrmecia",0.0134189189189191,0.00207971157986874,1287.99999999956,6.45229802478959,1.5556744453287e-10,"dN"
"(Lichen-forming) - (Free-living)","Coccomyxa",0.010152972972973,0.00207971157986874,1287.99999999956,4.8819139496323,1.18211441738595e-06,"dN"
"(Lichen-forming) - (Free-living)","Symbiochloris",-0.00474810810810808,0.00207971157986874,1287.99999999956,-2.2830608600101,0.0225890959894052,"dN"
"(Lichen-forming) - (Free-living)","Trebouxia_vs_Myrmecia",0.00641405405405403,0.00207971157986874,1287.9999999998,3.08410748689434,0.00208507450703847,"dN"
"(Lichen-forming) - (Free-living)","Asterochloris_vs_Myrmecia",-0.0471616216216373,0.0412664490978868,1288.00000000005,-1.14285630706356,0.253310642691659,"dS"
"(Lichen-forming) - (Free-living)","Coccomyxa",-0.118383783783784,0.0412664490978868,1288.00000000005,-2.86876594356276,0.00418798971859858,"dS"
"(Lichen-forming) - (Free-living)","Symbiochloris",0.175939459459461,0.0412664490978868,1288.00000000005,4.26349887876518,2.15931428389458e-05,"dS"
"(Lichen-forming) - (Free-living)","Trebouxia_vs_Myrmecia",0.431135675675678,0.0412664490978868,1287.9999999998,10.4476078049021,1.3977067786796e-24,"dS"
"(Lichen-forming) - (Free-living)","Asterochloris_vs_Myrmecia",0.01249945945946,0.00206163595062752,1288.00000000102,6.06288392267091,1.75371269127708e-09,"omega"
"(Lichen-forming) - (Free-living)","Coccomyxa",0.015445945945946,0.00206163595062751,1288.00000000017,7.49208216962096,1.25450619891455e-13,"omega"
"(Lichen-forming) - (Free-living)","Symbiochloris",-0.0114345945945945,0.00206163595062752,1288.00000000017,-5.54636942138793,3.53558853250158e-08,"omega"
"(Lichen-forming) - (Free-living)","Trebouxia_vs_Myrmecia",-0.00898162162162162,0.00206163595062751,1287.99999999992,-4.35655073772255,1.42620880744939e-05,"omega"
