branch,dN,dS,omega,lnL,SOG,Model
8..1,0.1561,5.4918,0.0284,-5134.728192,OG0003800,M0
8..9,0.0639,2.2482,0.0284,-5134.728192,OG0003800,M0
9..10,0.0319,1.1208,0.0284,-5134.728192,OG0003800,M0
10..11,0.1486,5.2282,0.0284,-5134.728192,OG0003800,M0
11..2,0.1375,4.8394,0.0284,-5134.728192,OG0003800,M0
11..3,0.1294,4.5522,0.0284,-5134.728192,OG0003800,M0
10..4,0.1735,6.1033,0.0284,-5134.728192,OG0003800,M0
9..12,0.1402,4.9331,0.0284,-5134.728192,OG0003800,M0
12..5,0.2127,7.4829,0.0284,-5134.728192,OG0003800,M0
12..6,0.1723,6.0608,0.0284,-5134.728192,OG0003800,M0
8..7,0.1847,6.4981,0.0284,-5134.728192,OG0003800,M0
8..1,0.081,27.0001,0.003,-12402.605682,OG0003751,M0
8..9,0.0444,14.8138,0.003,-12402.605682,OG0003751,M0
9..10,0.0195,6.4911,0.003,-12402.605682,OG0003751,M0
10..11,0.0449,14.9596,0.003,-12402.605682,OG0003751,M0
11..2,0.0385,12.8495,0.003,-12402.605682,OG0003751,M0
11..3,0.0941,31.3821,0.003,-12402.605682,OG0003751,M0
10..12,0.0858,28.6152,0.003,-12402.605682,OG0003751,M0
12..5,0.0737,24.5874,0.003,-12402.605682,OG0003751,M0
12..6,0.0845,28.1765,0.003,-12402.605682,OG0003751,M0
9..4,0.1447,48.2688,0.003,-12402.605682,OG0003751,M0
8..7,0.0832,27.7428,0.003,-12402.605682,OG0003751,M0
8..1,0.2937,88.9132,0.0033,-2636.708559,OG0003795,M0
8..9,0.0419,12.6878,0.0033,-2636.708559,OG0003795,M0
9..10,0.0693,20.9877,0.0033,-2636.708559,OG0003795,M0
10..2,0.0818,24.7576,0.0033,-2636.708559,OG0003795,M0
10..3,0.1417,42.9003,0.0033,-2636.708559,OG0003795,M0
9..7,0.2164,65.5003,0.0033,-2636.708559,OG0003795,M0
8..11,0.0613,18.5503,0.0033,-2636.708559,OG0003795,M0
