branch,dN,dS,omega,lnL,SOG,Model
8..1,0.1484,3.021,0.0491,-8620.442733,OG0003789,M0
8..9,0.042,0.8558,0.0491,-8620.442733,OG0003789,M0
9..10,0.0362,0.7363,0.0491,-8620.442733,OG0003789,M0
10..11,0.1155,2.3525,0.0491,-8620.442733,OG0003789,M0
11..2,0.0609,1.2405,0.0491,-8620.442733,OG0003789,M0
11..3,0.0628,1.2789,0.0491,-8620.442733,OG0003789,M0
10..12,0.1631,3.3206,0.0491,-8620.442733,OG0003789,M0
12..5,0.1351,2.7516,0.0491,-8620.442733,OG0003789,M0
12..6,0.1174,2.3904,0.0491,-8620.442733,OG0003789,M0
9..4,0.1681,3.4236,0.0491,-8620.442733,OG0003789,M0
8..7,0.194,3.9503,0.0491,-8620.442733,OG0003789,M0
8..1,0.2407,61.7606,0.0039,-12516.377778,OG0003782,M0
8..9,0.103,26.4176,0.0039,-12516.377778,OG0003782,M0
9..10,0.124,31.8247,0.0039,-12516.377778,OG0003782,M0
10..2,0.17,43.6171,0.0039,-12516.377778,OG0003782,M0
10..3,0.1606,41.2004,0.0039,-12516.377778,OG0003782,M0
9..11,0.1511,38.7745,0.0039,-12516.377778,OG0003782,M0
11..5,0.133,34.1246,0.0039,-12516.377778,OG0003782,M0
11..6,0.1594,40.8991,0.0039,-12516.377778,OG0003782,M0
8..12,0.0579,14.8572,0.0039,-12516.377778,OG0003782,M0
12..4,0.2757,70.7291,0.0039,-12516.377778,OG0003782,M0
12..7,0.1995,51.1762,0.0039,-12516.377778,OG0003782,M0
8..1,0.2711,4.4255,0.0613,-9320.798959,OG0003787,M0
8..9,0.0862,1.4075,0.0613,-9320.798959,OG0003787,M0
9..10,0.1627,2.6556,0.0613,-9320.798959,OG0003787,M0
10..2,0.1004,1.6399,0.0613,-9320.798959,OG0003787,M0
10..3,0.1679,2.7406,0.0613,-9320.798959,OG0003787,M0
9..11,0.0669,1.0926,0.0613,-9320.798959,OG0003787,M0
11..4,0.3955,6.4569,0.0613,-9320.798959,OG0003787,M0
11..12,0.1,1.6322,0.0613,-9320.798959,OG0003787,M0
12..5,0.2035,3.322,0.0613,-9320.798959,OG0003787,M0
12..6,0.1271,2.0751,0.0613,-9320.798959,OG0003787,M0
8..7,0.3391,5.5364,0.0613,-9320.798959,OG0003787,M0
8..1,0.195,2.2774,0.0856,-5865.265763,OG0003800,M0
8..9,0.077,0.8996,0.0856,-5865.265763,OG0003800,M0
9..10,0.0346,0.4038,0.0856,-5865.265763,OG0003800,M0
10..11,0.1464,1.7102,0.0856,-5865.265763,OG0003800,M0
11..2,0.1338,1.563,0.0856,-5865.265763,OG0003800,M0
11..3,0.1269,1.4814,0.0856,-5865.265763,OG0003800,M0
10..4,0.2178,2.5434,0.0856,-5865.265763,OG0003800,M0
