branch,dN,dS,omega,lnL,SOG,Model
8..1,0.1201,68.5732,0.0018,-3810.64327,OG0003756,M0
8..9,0.0237,13.5074,0.0018,-3810.64327,OG0003756,M0
9..10,0.0228,13.007,0.0018,-3810.64327,OG0003756,M0
10..11,0.0407,23.2109,0.0018,-3810.64327,OG0003756,M0
11..2,0.0328,18.7476,0.0018,-3810.64327,OG0003756,M0
11..3,0.0904,51.6328,0.0018,-3810.64327,OG0003756,M0
10..12,0.0962,54.9153,0.0018,-3810.64327,OG0003756,M0
12..5,0.0928,52.9531,0.0018,-3810.64327,OG0003756,M0
12..6,0.0604,34.4737,0.0018,-3810.64327,OG0003756,M0
9..4,0.0744,42.4796,0.0018,-3810.64327,OG0003756,M0
8..7,0.0583,33.2618,0.0018,-3810.64327,OG0003756,M0
8..1,0.0625,1.3989,0.0447,-12709.041985,OG0003753,M0
8..9,0.0592,1.3267,0.0447,-12709.041985,OG0003753,M0
9..10,0.0549,1.2299,0.0447,-12709.041985,OG0003753,M0
10..11,0.1145,2.5647,0.0447,-12709.041985,OG0003753,M0
11..2,0.0502,1.1249,0.0447,-12709.041985,OG0003753,M0
11..3,0.0795,1.7803,0.0447,-12709.041985,OG0003753,M0
10..12,0.1153,2.5815,0.0447,-12709.041985,OG0003753,M0
12..5,0.1152,2.5791,0.0447,-12709.041985,OG0003753,M0
12..6,0.1118,2.5042,0.0447,-12709.041985,OG0003753,M0
9..4,0.1155,2.587,0.0447,-12709.041985,OG0003753,M0
8..7,0.3142,7.0358,0.0447,-12709.041985,OG0003753,M0
8..1,0.0807,27.2225,0.003,-12599.381473,OG0003751,M0
8..9,0.0333,11.2404,0.003,-12599.381473,OG0003751,M0
9..10,0.0261,8.7942,0.003,-12599.381473,OG0003751,M0
10..11,0.0447,15.0877,0.003,-12599.381473,OG0003751,M0
11..2,0.0408,13.7596,0.003,-12599.381473,OG0003751,M0
11..3,0.0934,31.4947,0.003,-12599.381473,OG0003751,M0
10..12,0.0824,27.8028,0.003,-12599.381473,OG0003751,M0
12..5,0.0747,25.1957,0.003,-12599.381473,OG0003751,M0
12..6,0.0842,28.4143,0.003,-12599.381473,OG0003751,M0
9..4,0.1391,46.9232,0.003,-12599.381473,OG0003751,M0
8..7,0.2194,74.0027,0.003,-12599.381473,OG0003751,M0
8..1,0.0924,2.4739,0.0374,-2177.264774,OG0003773,M0
8..9,0.0981,2.6244,0.0374,-2177.264774,OG0003773,M0
9..10,0.0131,0.3513,0.0374,-2177.264774,OG0003773,M0
10..11,0.0474,1.2685,0.0374,-2177.264774,OG0003773,M0
11..2,0.0628,1.6793,0.0374,-2177.264774,OG0003773,M0
11..3,0.0593,1.5873,0.0374,-2177.264774,OG0003773,M0
10..12,0.0688,1.8418,0.0374,-2177.264774,OG0003773,M0
12..5,0.0341,0.9135,0.0374,-2177.264774,OG0003773,M0
12..6,0.1192,3.1903,0.0374,-2177.264774,OG0003773,M0
9..4,0.0822,2.1987,0.0374,-2177.264774,OG0003773,M0
8..7,0.0885,2.3697,0.0374,-2177.264774,OG0003773,M0
8..1,0.2584,4.5722,0.0565,-9216.508263,OG0003778,M0
8..9,0.0649,1.1488,0.0565,-9216.508263,OG0003778,M0
9..10,0.0373,0.6601,0.0565,-9216.508263,OG0003778,M0
10..11,0.1209,2.1385,0.0565,-9216.508263,OG0003778,M0
11..2,0.1075,1.9024,0.0565,-9216.508263,OG0003778,M0
11..3,0.1545,2.7327,0.0565,-9216.508263,OG0003778,M0
10..12,0.1481,2.6195,0.0565,-9216.508263,OG0003778,M0
12..5,0.154,2.7248,0.0565,-9216.508263,OG0003778,M0
12..6,0.1115,1.9728,0.0565,-9216.508263,OG0003778,M0
9..4,0.196,3.4683,0.0565,-9216.508263,OG0003778,M0
8..7,0.2739,4.8468,0.0565,-9216.508263,OG0003778,M0
8..1,0.0773,35.5973,0.0022,-8741.987394,OG0003771,M0
8..9,0.0262,12.0829,0.0022,-8741.987394,OG0003771,M0
9..10,0.0361,16.6211,0.0022,-8741.987394,OG0003771,M0
10..11,0.0504,23.1986,0.0022,-8741.987394,OG0003771,M0
11..2,0.0588,27.0592,0.0022,-8741.987394,OG0003771,M0
11..3,0.0688,31.6943,0.0022,-8741.987394,OG0003771,M0
10..4,0.1628,74.9436,0.0022,-8741.987394,OG0003771,M0
9..7,0.1222,56.2567,0.0022,-8741.987394,OG0003771,M0
8..12,0.0997,45.9019,0.0022,-8741.987394,OG0003771,M0
12..5,0.0488,22.4829,0.0022,-8741.987394,OG0003771,M0
12..6,0.0406,18.6792,0.0022,-8741.987394,OG0003771,M0
8..1,0.2002,61.552,0.0033,-14967.540067,OG0003777,M0
8..9,0.0677,20.812,0.0033,-14967.540067,OG0003777,M0
9..10,0.043,13.2227,0.0033,-14967.540067,OG0003777,M0
10..11,0.076,23.3519,0.0033,-14967.540067,OG0003777,M0
11..2,0.07,21.5313,0.0033,-14967.540067,OG0003777,M0
11..3,0.1074,33.0299,0.0033,-14967.540067,OG0003777,M0
10..12,0.1185,36.4361,0.0033,-14967.540067,OG0003777,M0
12..5,0.1254,38.5402,0.0033,-14967.540067,OG0003777,M0
12..6,0.1417,43.5611,0.0033,-14967.540067,OG0003777,M0
9..4,0.1435,44.1067,0.0033,-14967.540067,OG0003777,M0
8..7,0.206,63.3473,0.0033,-14967.540067,OG0003777,M0
8..1,0.1107,1.5754,0.0703,-6085.52778,OG0003775,M0
8..9,0.0334,0.4746,0.0703,-6085.52778,OG0003775,M0
9..10,0.0561,0.7985,0.0703,-6085.52778,OG0003775,M0
10..11,0.0628,0.8941,0.0703,-6085.52778,OG0003775,M0
11..2,0.0934,1.3293,0.0703,-6085.52778,OG0003775,M0
11..3,0.1353,1.925,0.0703,-6085.52778,OG0003775,M0
10..12,0.0666,0.9476,0.0703,-6085.52778,OG0003775,M0
12..5,0.1117,1.5895,0.0703,-6085.52778,OG0003775,M0
12..6,0.0979,1.3932,0.0703,-6085.52778,OG0003775,M0
9..7,0.1059,1.5063,0.0703,-6085.52778,OG0003775,M0
8..4,0.1579,2.2468,0.0703,-6085.52778,OG0003775,M0
8..1,0.1654,3.249,0.0509,-16787.542045,OG0003761,M0
8..9,0.0537,1.054,0.0509,-16787.542045,OG0003761,M0
9..10,0.0426,0.8363,0.0509,-16787.542045,OG0003761,M0
10..11,0.0847,1.6637,0.0509,-16787.542045,OG0003761,M0
11..2,0.0934,1.8352,0.0509,-16787.542045,OG0003761,M0
11..3,0.0779,1.5295,0.0509,-16787.542045,OG0003761,M0
10..12,0.1188,2.3327,0.0509,-16787.542045,OG0003761,M0
