Pn,Ps,Dn,Ds,Gene,NI
10,41,2,11,OG0005565_codon_alignment,1.3414634146341462
190,1814,241,642,OG0005525_codon_alignment,0.2790193378380233
197,633,108,301,OG0005564_codon_alignment,0.867371716107893
37,148,23,48,OG0005527_codon_alignment,0.5217391304347826
295,486,197,205,OG0005563_codon_alignment,0.6316454638507656
254,510,132,215,OG0005529_codon_alignment,0.8112002376708258
461,1144,197,459,OG0005490_codon_alignment,0.9389043697419333
167,385,104,189,OG0005530_codon_alignment,0.7882867132867133
92,565,57,219,OG0005489_codon_alignment,0.6256171401956219
117,243,31,135,OG0005531_codon_alignment,2.096774193548387
518,757,254,321,OG0005488_codon_alignment,0.8647791218964208
360,570,190,266,OG0005532_codon_alignment,0.8842105263157894
80,270,41,111,OG0005487_codon_alignment,0.8021680216802167
162,460,112,221,OG0005537_codon_alignment,0.694914596273292
282,293,144,136,OG0005555_codon_alignment,0.9089874857792947
77,164,94,80,OG0005538_codon_alignment,0.3995848469122989
231,762,131,330,OG0005554_codon_alignment,0.7636593135781692
133,670,87,264,OG0005539_codon_alignment,0.602367472979928
880,1326,532,583,OG0005553_codon_alignment,0.7272706653511607
38,322,20,114,OG0005540_codon_alignment,0.6726708074534162
91,306,68,128,OG0005551_codon_alignment,0.5597846981930027
257,633,161,284,OG0005541_codon_alignment,0.7161794864246955
157,432,85,209,OG0005550_codon_alignment,0.8936002178649237
308,427,100,185,OG0005542_codon_alignment,1.3344262295081968
160,343,93,163,OG0005549_codon_alignment,0.8175804884165647
345,614,87,196,OG0005543_codon_alignment,1.265865438616197
144,431,90,203,OG0005547_codon_alignment,0.7535962877030162
75,389,35,175,OG0005544_codon_alignment,0.9640102827763495
250,416,135,170,OG0005546_codon_alignment,0.7567663817663818
553,708,289,316,OG0005545_codon_alignment,0.8540457060191973
212,316,91,134,OG0005281_codon_alignment,0.9878981777715956
204,764,69,315,OG0005250_codon_alignment,1.2189847484634646
57,126,43,73,OG0005280_codon_alignment,0.7679955703211517
41,209,42,97,OG0005251_codon_alignment,0.45306447938026884
260,661,206,318,OG0005279_codon_alignment,0.6072000352510907
392,584,213,212,OG0005252_codon_alignment,0.6680815486526465
132,337,68,178,OG0005212_codon_alignment,1.025309827194973
541,764,219,296,OG0005254_codon_alignment,0.9570871883143273
259,165,83,70,OG0005211_codon_alignment,1.3238408178167214
134,405,91,153,OG0005255_codon_alignment,0.5562881562881563
99,392,45,154,OG0005209_codon_alignment,0.8642857142857142
132,366,68,142,OG0005256_codon_alignment,0.7531340405014465
36,378,29,205,OG0005208_codon_alignment,0.6732348111658457
159,530,72,233,OG0005257_codon_alignment,0.9708333333333332
76,397,22,149,OG0005273_codon_alignment,1.2965422486833065
18,143,21,68,OG0005258_codon_alignment,0.4075924075924076
168,288,72,113,OG0005272_codon_alignment,0.9155092592592593
61,164,28,74,OG0005259_codon_alignment,0.9830139372822299
460,283,181,96,OG0005271_codon_alignment,0.8621127228003045
25,191,27,111,OG0005260_codon_alignment,0.5381035485747527
91,331,35,123,OG0005270_codon_alignment,0.9661631419939577
142,153,73,66,OG0005261_codon_alignment,0.8391082460381414
420,458,190,186,OG0005269_codon_alignment,0.8977246609974718
108,692,94,314,OG0005262_codon_alignment,0.5213380887959661
231,378,229,172,OG0005268_codon_alignment,0.4590004852013586
202,551,96,230,OG0005263_codon_alignment,0.8783272837265579
157,669,91,256,OG0005267_codon_alignment,0.6601948126611804
52,288,33,138,OG0005264_codon_alignment,0.755050505050505
79,374,62,187,OG0005266_codon_alignment,0.6370967741935485
70,49,22,32,OG0005265_codon_alignment,2.077922077922078
83,331,41,125,OG0005602_codon_alignment,0.7644978262471447
31,121,23,50,OG0005566_codon_alignment,0.5569529284944305
58,220,52,103,OG0005601_codon_alignment,0.5222027972027972
256,314,126,112,OG0005567_codon_alignment,0.7246992215145082
125,329,83,161,OG0005600_codon_alignment,0.7369905152524995
83,273,47,106,OG0005568_codon_alignment,0.685683111215026
281,468,144,162,OG0005521_codon_alignment,0.6754807692307693
45,286,55,154,OG0005571_codon_alignment,0.4405594405594406
108,368,59,132,OG0005520_codon_alignment,0.6565954310980104
49,96,42,52,OG0005572_codon_alignment,0.6319444444444444
121,171,56,75,OG0005518_codon_alignment,0.9476817042606516
190,509,112,203,OG0005573_codon_alignment,0.6765717092337917
72,224,48,88,OG0005517_codon_alignment,0.5892857142857144
23,213,12,90,OG0005574_codon_alignment,0.8098591549295775
200,473,114,193,OG0005594_codon_alignment,0.7158488186639962
204,898,105,354,OG0005575_codon_alignment,0.7658924594336621
319,211,140,93,OG0005593_codon_alignment,1.0042992552471226
284,741,142,320,OG0005576_codon_alignment,0.863697705802969
30,124,18,42,OG0005592_codon_alignment,0.5645161290322581
106,162,54,65,OG0005577_codon_alignment,0.7876085962505716
144,223,76,116,OG0005591_codon_alignment,0.9856030210054284
192,316,75,136,OG0005578_codon_alignment,1.1017721518987342
118,448,59,178,OG0005590_codon_alignment,0.7946428571428572
62,103,21,47,OG0005580_codon_alignment,1.3472029588534442
51,183,22,84,OG0005589_codon_alignment,1.0640834575260802
262,348,84,159,OG0005581_codon_alignment,1.4250821018062398
102,173,44,67,OG0005588_codon_alignment,0.8977929584866001
122,589,71,248,OG0005582_codon_alignment,0.7234988880652334
62,266,44,146,OG0005587_codon_alignment,0.7734107997265892
141,333,113,156,OG0005583_codon_alignment,0.5845491509208324
93,51,51,32,OG0005493_codon_alignment,1.1441753171856979
108,232,48,90,OG0005459_codon_alignment,0.8728448275862069
371,1057,277,418,OG0005492_codon_alignment,0.5296578764912617
166,457,105,184,OG0005460_codon_alignment,0.6365322496613526
186,642,68,251,OG0005491_codon_alignment,1.069406267179769
82,420,66,196,OG0005461_codon_alignment,0.5797979797979799
311,627,162,276,OG0005419_codon_alignment,0.8450587748833363
97,183,48,83,OG0005462_codon_alignment,0.9165528233151184
80,329,50,139,OG0005418_codon_alignment,0.6759878419452888
69,403,47,189,OG0005463_codon_alignment,0.6885064146560372
95,252,51,106,OG0005417_codon_alignment,0.7835356364768129
118,322,41,114,OG0005465_codon_alignment,1.0189365247689743
116,503,82,215,OG0005416_codon_alignment,0.6046646947582796
26,128,15,51,OG0005466_codon_alignment,0.6906249999999999
137,248,55,120,OG0005486_codon_alignment,1.2052785923753666
2,94,0,30,OG0005467_codon_alignment,inf
31,145,21,51,OG0005481_codon_alignment,0.5192118226600986
107,652,86,238,OG0005468_codon_alignment,0.45416607219289484
266,211,164,87,OG0005480_codon_alignment,0.6687666165761184
147,638,75,252,OG0005469_codon_alignment,0.7741692789968653
71,759,51,328,OG0005479_codon_alignment,0.6016171949675786
480,541,219,188,OG0005470_codon_alignment,0.7616539639936191
127,264,67,113,OG0005478_codon_alignment,0.8113410221619176
162,394,98,168,OG0005471_codon_alignment,0.7048585931834662
56,207,24,98,OG0005477_codon_alignment,1.104669887278583
51,300,27,115,OG0005472_codon_alignment,0.7240740740740741
141,434,72,156,OG0005476_codon_alignment,0.7039170506912441
269,615,134,243,OG0005473_codon_alignment,0.7931925737167819
122,286,57,129,OG0005475_codon_alignment,0.9654030180345969
63,261,42,92,OG0005474_codon_alignment,0.5287356321839081
885,1171,592,583,OG0003663_codon_alignment,0.7442746439864288
963,598,473,239,OG0005936_codon_alignment,0.8136954046964158
493,525,240,253,OG0003662_codon_alignment,0.9899126984126985
51,233,36,97,OG0005937_codon_alignment,0.5897711015736767
273,448,140,178,OG0003661_codon_alignment,0.7747767857142857
99,242,90,118,OG0005938_codon_alignment,0.5363636363636364
93,312,41,117,OG0005891_codon_alignment,0.8506097560975611
47,180,37,92,OG0005939_codon_alignment,0.6492492492492493
97,468,101,175,OG0005890_codon_alignment,0.35912245070660914
212,389,118,166,OG0005940_codon_alignment,0.7666768332534529
306,958,209,364,OG0005889_codon_alignment,0.5563025042203155
414,313,135,119,OG0005941_codon_alignment,1.1659211927582536
189,211,58,101,OG0005888_codon_alignment,1.5598136950482107
39,423,30,166,OG0005942_codon_alignment,0.5101654846335697
244,301,133,106,OG0005965_codon_alignment,0.6460669947293483
61,147,19,72,OG0005944_codon_alignment,1.5725026852846402
264,303,125,124,OG0005964_codon_alignment,0.8643168316831683
14,266,12,103,OG0005945_codon_alignment,0.45175438596491224
265,333,222,185,OG0005962_codon_alignment,0.6631631631631633
1137,1881,622,725,OG0005946_codon_alignment,0.7045621214685354
57,51,8,25,OG0005961_codon_alignment,3.4926470588235294
151,442,92,194,OG0005947_codon_alignment,0.7203915010820382
163,135,41,52,OG0005960_codon_alignment,1.5313459801264682
221,537,110,235,OG0005949_codon_alignment,0.8792111054680887
232,508,130,182,OG0005956_codon_alignment,0.6393700787401575
142,368,103,183,OG0005950_codon_alignment,0.6855740818910934
286,308,79,105,OG0005954_codon_alignment,1.2341772151898736
76,250,42,108,OG0005951_codon_alignment,0.7817142857142857
327,480,107,184,OG0005953_codon_alignment,1.1714953271028037
109,320,74,129,OG0005952_codon_alignment,0.5937922297297298
165,323,83,153,OG0003870_codon_alignment,0.9416613823715917
329,317,173,126,OG0003871_codon_alignment,0.7558943126492952
568,424,215,166,OG0003872_codon_alignment,1.0343132953049583
28,118,30,60,OG0003874_codon_alignment,0.4745762711864407
118,200,83,88,OG0003902_codon_alignment,0.6255421686746987
397,1550,236,558,OG0003875_codon_alignment,0.605593220338983
376,766,191,308,OG0003901_codon_alignment,0.791546484764808
260,438,137,195,OG0003876_codon_alignment,0.8449155084491551
167,286,100,111,OG0003900_codon_alignment,0.6481468531468532
1239,1387,629,569,OG0003877_codon_alignment,0.8080839225925956
6,80,1,42,OG0003899_codon_alignment,3.15
231,744,123,313,OG0003879_codon_alignment,0.7900931025439287
181,652,128,296,OG0003898_codon_alignment,0.6419670245398773
86,207,50,89,OG0003880_codon_alignment,0.7395169082125603
32,172,24,97,OG0003897_codon_alignment,0.751937984496124
39,105,17,40,OG0003881_codon_alignment,0.8739495798319328
194,274,90,112,OG0003896_codon_alignment,0.88110300081103
146,114,57,50,OG0003882_codon_alignment,1.123422591566636
283,432,165,149,OG0003895_codon_alignment,0.5915684624017957
214,352,136,160,OG0003883_codon_alignment,0.7152406417112299
53,238,54,130,OG0003889_codon_alignment,0.5361033302209773
253,426,181,188,OG0003884_codon_alignment,0.6168650948045548
275,460,177,183,OG0003888_codon_alignment,0.6180913780397936
148,187,74,85,OG0003885_codon_alignment,0.9090909090909092
54,87,27,38,OG0003887_codon_alignment,0.8735632183908046
255,205,217,96,OG0003886_codon_alignment,0.5502978532089469
10,134,9,43,OG0003869_codon_alignment,0.3565505804311774
354,1186,249,473,OG0003837_codon_alignment,0.5669964850972186
58,341,39,167,OG0003868_codon_alignment,0.7283254380028573
133,386,71,168,OG0003838_codon_alignment,0.8152959206013282
186,301,106,135,OG0003867_codon_alignment,0.786999310474519
270,477,104,193,OG0003839_codon_alignment,1.0504354136429608
57,69,7,30,OG0003866_codon_alignment,3.540372670807453
23,412,23,212,OG0003840_codon_alignment,0.5145631067961165
68,253,39,102,OG0003865_codon_alignment,0.7029492246883552
101,380,52,159,OG0003841_codon_alignment,0.8127024291497976
1422,916,655,394,OG0003864_codon_alignment,0.9338111270375679
128,232,55,97,OG0003842_codon_alignment,0.9730407523510972
430,504,195,196,OG0003863_codon_alignment,0.8575498575498575
54,267,24,137,OG0003844_codon_alignment,1.1544943820224718
153,212,65,77,OG0003860_codon_alignment,0.854934687953556
33,170,15,66,OG0003845_codon_alignment,0.8541176470588235
166,405,102,177,OG0003859_codon_alignment,0.7112563543936092
204,158,162,68,OG0003846_codon_alignment,0.5419596812001876
175,163,97,94,OG0003858_codon_alignment,1.0404149010182784
84,294,46,130,OG0003847_codon_alignment,0.8074534161490682
92,564,52,282,OG0003857_codon_alignment,0.8846153846153847
893,868,513,339,OG0003848_codon_alignment,0.6798515104966719
328,489,234,244,OG0003856_codon_alignment,0.6994214601576565
79,221,65,108,OG0003849_codon_alignment,0.5939436129481378
24,223,44,96,OG0003855_codon_alignment,0.2348145128414187
60,172,18,75,OG0003850_codon_alignment,1.4534883720930234
195,573,90,236,OG0003854_codon_alignment,0.8923792902850496
57,292,57,131,OG0003851_codon_alignment,0.4486301369863014
118,163,58,72,OG0003853_codon_alignment,0.898667230801777
