branch,dN,dS,omega,lnL,SOG,Model
8..1,0.2028,39.2962,0.0052,-19876.323318,OG0003753,M0
8..9,0.0515,9.9692,0.0052,-19876.323318,OG0003753,M0
9..10,0.0843,16.3277,0.0052,-19876.323318,OG0003753,M0
10..11,0.1346,26.0789,0.0052,-19876.323318,OG0003753,M0
11..2,0.0514,9.956,0.0052,-19876.323318,OG0003753,M0
11..3,0.0782,15.161,0.0052,-19876.323318,OG0003753,M0
10..12,0.2014,39.0157,0.0052,-19876.323318,OG0003753,M0
12..5,0.1566,30.35,0.0052,-19876.323318,OG0003753,M0
12..6,0.1011,19.5829,0.0052,-19876.323318,OG0003753,M0
9..4,0.1148,22.2501,0.0052,-19876.323318,OG0003753,M0
8..7,0.3278,63.5219,0.0052,-19876.323318,OG0003753,M0
8..1,0.1126,68.1661,0.0017,-3812.518959,OG0003756,M0
8..9,0.029,17.5738,0.0017,-3812.518959,OG0003756,M0
9..10,0.0227,13.752,0.0017,-3812.518959,OG0003756,M0
10..11,0.0416,25.183,0.0017,-3812.518959,OG0003756,M0
11..2,0.0346,20.9147,0.0017,-3812.518959,OG0003756,M0
11..3,0.0892,54.0116,0.0017,-3812.518959,OG0003756,M0
10..12,0.0958,57.9865,0.0017,-3812.518959,OG0003756,M0
12..5,0.0921,55.7652,0.0017,-3812.518959,OG0003756,M0
12..6,0.0609,36.8429,0.0017,-3812.518959,OG0003756,M0
9..4,0.0757,45.7874,0.0017,-3812.518959,OG0003756,M0
8..7,0.0552,33.4223,0.0017,-3812.518959,OG0003756,M0
8..1,0.0839,29.218,0.0029,-12404.78453,OG0003751,M0
8..9,0.0477,16.6024,0.0029,-12404.78453,OG0003751,M0
9..10,0.047,16.3675,0.0029,-12404.78453,OG0003751,M0
10..2,0.0393,13.7023,0.0029,-12404.78453,OG0003751,M0
10..3,0.0939,32.687,0.0029,-12404.78453,OG0003751,M0
9..11,0.0221,7.7046,0.0029,-12404.78453,OG0003751,M0
11..4,0.1423,49.5557,0.0029,-12404.78453,OG0003751,M0
11..12,0.0768,26.7607,0.0029,-12404.78453,OG0003751,M0
12..5,0.075,26.1279,0.0029,-12404.78453,OG0003751,M0
12..6,0.0831,28.9347,0.0029,-12404.78453,OG0003751,M0
8..7,0.0821,28.5797,0.0029,-12404.78453,OG0003751,M0
8..1,0.0879,0.8027,0.1095,-5688.939724,OG0003810,M0
8..9,0.0458,0.4184,0.1095,-5688.939724,OG0003810,M0
9..10,0.0293,0.2672,0.1095,-5688.939724,OG0003810,M0
10..2,0.0705,0.6437,0.1095,-5688.939724,OG0003810,M0
10..11,0.0242,0.2212,0.1095,-5688.939724,OG0003810,M0
11..3,0.0504,0.4602,0.1095,-5688.939724,OG0003810,M0
11..12,0.0748,0.6837,0.1095,-5688.939724,OG0003810,M0
12..5,0.0834,0.7614,0.1095,-5688.939724,OG0003810,M0
12..6,0.0753,0.6878,0.1095,-5688.939724,OG0003810,M0
9..4,0.0698,0.6372,0.1095,-5688.939724,OG0003810,M0
8..7,0.1308,1.1947,0.1095,-5688.939724,OG0003810,M0
8..1,0.1307,1.4992,0.0872,-6052.397776,OG0003775,M0
8..9,0.0339,0.389,0.0872,-6052.397776,OG0003775,M0
9..10,0.0603,0.6918,0.0872,-6052.397776,OG0003775,M0
10..11,0.0668,0.7662,0.0872,-6052.397776,OG0003775,M0
11..2,0.0997,1.143,0.0872,-6052.397776,OG0003775,M0
11..3,0.127,1.4567,0.0872,-6052.397776,OG0003775,M0
10..12,0.0633,0.7262,0.0872,-6052.397776,OG0003775,M0
12..5,0.1194,1.369,0.0872,-6052.397776,OG0003775,M0
12..6,0.0887,1.0172,0.0872,-6052.397776,OG0003775,M0
9..7,0.1167,1.3383,0.0872,-6052.397776,OG0003775,M0
8..4,0.1492,1.7106,0.0872,-6052.397776,OG0003775,M0
8..1,0.074,1.7111,0.0432,-6763.313933,OG0003802,M0
8..9,0.0308,0.7135,0.0432,-6763.313933,OG0003802,M0
9..10,0.0486,1.1252,0.0432,-6763.313933,OG0003802,M0
10..11,0.1153,2.6688,0.0432,-6763.313933,OG0003802,M0
11..2,0.0783,1.8122,0.0432,-6763.313933,OG0003802,M0
11..3,0.0518,1.1977,0.0432,-6763.313933,OG0003802,M0
10..12,0.0704,1.6278,0.0432,-6763.313933,OG0003802,M0
12..5,0.0766,1.7727,0.0432,-6763.313933,OG0003802,M0
12..6,0.0882,2.0406,0.0432,-6763.313933,OG0003802,M0
9..7,0.1276,2.9529,0.0432,-6763.313933,OG0003802,M0
8..4,0.1409,3.2592,0.0432,-6763.313933,OG0003802,M0
8..1,0.0146,18.0321,0.0008,-2418.264391,OG0003801,M0
8..9,0.0,0.0,0.0008,-2418.264391,OG0003801,M0
9..10,0.0,0.0,0.0008,-2418.264391,OG0003801,M0
10..11,0.0553,68.451,0.0008,-2418.264391,OG0003801,M0
11..2,0.0405,50.1462,0.0008,-2418.264391,OG0003801,M0
11..3,0.0448,55.4454,0.0008,-2418.264391,OG0003801,M0
10..7,0.0021,2.5613,0.0008,-2418.264391,OG0003801,M0
9..4,0.0028,3.5119,0.0008,-2418.264391,OG0003801,M0
8..12,0.0458,56.7214,0.0008,-2418.264391,OG0003801,M0
12..5,0.0318,39.4143,0.0008,-2418.264391,OG0003801,M0
12..6,0.0101,12.4687,0.0008,-2418.264391,OG0003801,M0
8..1,0.1968,1.648,0.1194,-5624.264202,OG0003800,M0
8..9,0.1557,1.3043,0.1194,-5624.264202,OG0003800,M0
9..2,0.1189,0.9959,0.1194,-5624.264202,OG0003800,M0
9..3,0.1446,1.2113,0.1194,-5624.264202,OG0003800,M0
8..10,0.0291,0.2435,0.1194,-5624.264202,OG0003800,M0
10..11,0.0295,0.2468,0.1194,-5624.264202,OG0003800,M0
11..4,0.194,1.6249,0.1194,-5624.264202,OG0003800,M0
11..7,0.2725,2.2821,0.1194,-5624.264202,OG0003800,M0
10..12,0.1476,1.2359,0.1194,-5624.264202,OG0003800,M0
12..5,0.2331,1.9519,0.1194,-5624.264202,OG0003800,M0
12..6,0.207,1.7332,0.1194,-5624.264202,OG0003800,M0
8..1,0.1746,3.7468,0.0466,-12626.002282,OG0003764,M0
8..9,0.0428,0.9185,0.0466,-12626.002282,OG0003764,M0
9..10,0.0526,1.1278,0.0466,-12626.002282,OG0003764,M0
10..11,0.1092,2.3433,0.0466,-12626.002282,OG0003764,M0
11..2,0.0936,2.0088,0.0466,-12626.002282,OG0003764,M0
11..3,0.1084,2.3252,0.0466,-12626.002282,OG0003764,M0
10..12,0.1397,2.9985,0.0466,-12626.002282,OG0003764,M0
12..5,0.1342,2.8795,0.0466,-12626.002282,OG0003764,M0
12..6,0.0915,1.9624,0.0466,-12626.002282,OG0003764,M0
9..4,0.1806,3.8752,0.0466,-12626.002282,OG0003764,M0
8..7,0.1736,3.725,0.0466,-12626.002282,OG0003764,M0
8..1,0.2705,62.4449,0.0043,-12476.563401,OG0003757,M0
8..9,0.0696,16.0743,0.0043,-12476.563401,OG0003757,M0
9..10,0.0256,5.9195,0.0043,-12476.563401,OG0003757,M0
10..11,0.1467,33.8668,0.0043,-12476.563401,OG0003757,M0
11..2,0.1571,36.2718,0.0043,-12476.563401,OG0003757,M0
11..3,0.1504,34.7305,0.0043,-12476.563401,OG0003757,M0
10..12,0.2131,49.1943,0.0043,-12476.563401,OG0003757,M0
12..5,0.255,58.8743,0.0043,-12476.563401,OG0003757,M0
12..6,0.2454,56.6552,0.0043,-12476.563401,OG0003757,M0
9..4,0.2401,55.4203,0.0043,-12476.563401,OG0003757,M0
8..7,0.2857,65.9438,0.0043,-12476.563401,OG0003757,M0
8..1,0.1748,3.1793,0.055,-16870.889171,OG0003761,M0
8..9,0.0462,0.84,0.055,-16870.889171,OG0003761,M0
9..10,0.043,0.7815,0.055,-16870.889171,OG0003761,M0
10..11,0.0821,1.4931,0.055,-16870.889171,OG0003761,M0
11..2,0.0958,1.7415,0.055,-16870.889171,OG0003761,M0
11..3,0.0858,1.5604,0.055,-16870.889171,OG0003761,M0
10..12,0.1251,2.2741,0.055,-16870.889171,OG0003761,M0
12..5,0.183,3.3269,0.055,-16870.889171,OG0003761,M0
12..6,0.172,3.1279,0.055,-16870.889171,OG0003761,M0
