"Gene","Branch","K","Relaxation.Parameter..K.","p.value","Taxa","Condition","padj","Result","TestedLichen","Pair","ln_K","InterPro_ID","Protein_function","GO_term"
"OG0003380","Coc_vir",0.329066394381222,5.6783930889955,6.69777344697309e-10,"Coccomyxa viridis","Lichen-forming",6.32939590738957e-07,"Intensified","Coccomyxa viridis","Coccomyxa",1.73666828584037,"IPR002023","NADH-quinone oxidoreductase subunit E-like","GO:0016491|GO:0055114"
"OG0003412","Coc_vir",1.35998448084849,12.4197229700773,0.000343260265309508,"Coccomyxa viridis","Lichen-forming",0.0233309790585237,"Intensified","Coccomyxa viridis","Coccomyxa",2.51928577110981,NA,NA,NA
"OG0003643","Coc_vir",4.78683116947252,6.99733058771622,0.000202705984612028,"Coccomyxa viridis","Lichen-forming",0.0228553325501058,"Intensified","Coccomyxa viridis","Coccomyxa",1.945528731713,"IPR005746","Thioredoxin","GO:0006662|GO:0015035|GO:0045454"
"OG0003802","Coc_vir",1.20077407218964,6.27015906471043,0.000552316927169838,"Coccomyxa viridis","Lichen-forming",0.0289966386764165,"Intensified","Coccomyxa viridis","Coccomyxa",1.83580172349535,NA,NA,NA
"OG0003934","Coc_vir",22.2744486144094,27.6945103885013,1.01442627260528e-05,"Coccomyxa viridis","Lichen-forming",0.00159772137935332,"Intensified","Coccomyxa viridis","Coccomyxa",3.32123421263233,NA,NA,NA
"OG0003379","Sym_ret",43.2400869399353,1.89940393784176,0.00140901801797555,"Symbiochloris reticulata","Lichen-forming",0.0378019405394012,"Intensified","Symbiochloris reticulata","Symbiochloris",0.641540120027555,NA,NA,NA
"OG0003384","Sym_ret",27.0913886794606,4.98722804980628,1.15645773851592e-05,"Symbiochloris reticulata","Lichen-forming",0.000987194378605858,"Intensified","Symbiochloris reticulata","Symbiochloris",1.60688025437474,NA,NA,NA
"OG0003403","Sym_ret",42.1641082376814,1.6143348633709,0.0011602960204129,"Symbiochloris reticulata","Lichen-forming",0.034047436348991,"Intensified","Symbiochloris reticulata","Symbiochloris",0.47892302253546,NA,NA,NA
"OG0003429","Sym_ret",50,2.52214025958618,0.00161673265954254,"Symbiochloris reticulata","Lichen-forming",0.0396703029039034,"Intensified","Symbiochloris reticulata","Symbiochloris",0.925107850423811,"IPR013128","Peptidase C1A","GO:0008234"
"OG0003492","Sym_ret",5.94104765757374,50,0.00210767184123173,"Symbiochloris reticulata","Lichen-forming",0.0449796331571953,"Intensified","Symbiochloris reticulata","Symbiochloris",3.91202300542815,NA,NA,NA
"OG0003524","Sym_ret",49.1229153395604,3.40815519964795,0.00231693428742141,"Symbiochloris reticulata","Lichen-forming",0.0471856537934839,"Intensified","Symbiochloris reticulata","Symbiochloris",1.22617114773297,NA,NA,NA
"OG0003616","Sym_ret",3.03882450714819,8.33608996563306,8.37940561793094e-06,"Symbiochloris reticulata","Lichen-forming",0.000786826187523715,"Intensified","Symbiochloris reticulata","Symbiochloris",2.12059427737516,NA,NA,NA
"OG0003629","Sym_ret",2.08037365857076,50,0,"Symbiochloris reticulata","Lichen-forming",0,"Intensified","Symbiochloris reticulata","Symbiochloris",3.91202300542815,"IPR028363","DNA-directed RNA polymerase, subunit  RPB6","GO:0003899|GO:0005634|GO:0005665|GO:0006351"
"OG0003659","Sym_ret",26.3727222274555,50,8.90308980994181e-05,"Symbiochloris reticulata","Lichen-forming",0.00557333422102357,"Intensified","Symbiochloris reticulata","Symbiochloris",3.91202300542815,NA,NA,NA
"OG0003734","Sym_ret",3.00382435044994,2.44632541633351,5.88240750136748e-05,"Symbiochloris reticulata","Lichen-forming",0.0042489081875262,"Intensified","Symbiochloris reticulata","Symbiochloris",0.894587068617681,"IPR027734","Dynein assembly factor 1, axonemal","GO:0044458"
"OG0003772","Sym_ret",50,3.21479281372123,1.9537629024402e-05,"Symbiochloris reticulata","Lichen-forming",0.00152881947115946,"Intensified","Symbiochloris reticulata","Symbiochloris",1.16776291198042,NA,NA,NA
"OG0003777","Sym_ret",28.3274024902039,17.5290452241851,2.29139639484899e-08,"Symbiochloris reticulata","Lichen-forming",3.07374459251886e-06,"Intensified","Symbiochloris reticulata","Symbiochloris",2.86385923220086,NA,NA,NA
"OG0003781","Sym_ret",30.059101197167,1.7976330013761,0.000551093232142197,"Symbiochloris reticulata","Lichen-forming",0.0184813051779115,"Intensified","Symbiochloris reticulata","Symbiochloris",0.586470800296399,NA,NA,NA
"OG0003782","Sym_ret",5.63193730168759,10.7253366322789,0.000510790494618663,"Symbiochloris reticulata","Lichen-forming",0.0181524116285672,"Intensified","Symbiochloris reticulata","Symbiochloris",2.37260885194657,NA,NA,NA
"OG0003865","Sym_ret",5.15659190830824,49.3814506164138,1.11022302462516e-16,"Symbiochloris reticulata","Lichen-forming",5.21249710061511e-14,"Intensified","Symbiochloris reticulata","Symbiochloris",3.89957486008364,NA,NA,NA
"OG0003877","Sym_ret",1.33606165917579,4.87068666995991,0.00231395163517645,"Symbiochloris reticulata","Lichen-forming",0.0471856537934839,"Intensified","Symbiochloris reticulata","Symbiochloris",1.5832349271467,NA,NA,NA
"OG0003902","Sym_ret",0.731878630242575,2.14548037661298,0.000205826511468499,"Symbiochloris reticulata","Lichen-forming",0.00878504973949638,"Intensified","Symbiochloris reticulata","Symbiochloris",0.763363479107444,"IPR033851","Mitochondrial intermediate peptidase","GO:0004222|GO:0005759|GO:0006627"
"OG0004035","Sym_ret",10.9736152331661,1.42483153311952,0.000163710215327351,"Symbiochloris reticulata","Lichen-forming",0.00767024085960448,"Intensified","Symbiochloris reticulata","Symbiochloris",0.354053584359532,NA,NA,NA
"OG0004046","Sym_ret",9.80383166754877,2.04325989801266,0.00149436773188272,"Symbiochloris reticulata","Lichen-forming",0.0379246297361587,"Intensified","Symbiochloris reticulata","Symbiochloris",0.714546521651806,NA,NA,NA
"OG0004075","Sym_ret",1.30922280401785,2.05128695978199,0.00241204620030588,"Symbiochloris reticulata","Lichen-forming",0.0471856537934839,"Intensified","Symbiochloris reticulata","Symbiochloris",0.718467381435094,NA,NA,NA
"OG0004097","Sym_ret",13.4954592943201,2.49543781639421,0.00207165499495587,"Symbiochloris reticulata","Lichen-forming",0.0449796331571953,"Intensified","Symbiochloris reticulata","Symbiochloris",0.914464191321815,"IPR019382","Translation initiation factor 3 complex subunit L","GO:0003743|GO:0005737|GO:0005852"
"OG0004181","Sym_ret",50,2.45339309384168,0.000254748278767813,"Symbiochloris reticulata","Lichen-forming",0.0099670264067907,"Intensified","Symbiochloris reticulata","Symbiochloris",0.897472002678862,NA,NA,NA
"OG0004222","Sym_ret",2.06952788723967,7.0286916911536,0.0026004771320608,"Symbiochloris reticulata","Lichen-forming",0.0483337479843505,"Intensified","Symbiochloris reticulata","Symbiochloris",1.95000058482655,NA,NA,NA
"OG0004257","Sym_ret",50,1.33677201895464,0.00239216195091929,"Symbiochloris reticulata","Lichen-forming",0.0471856537934839,"Intensified","Symbiochloris reticulata","Symbiochloris",0.290257766717505,NA,NA,NA
"OG0004260","Sym_ret",11.3165374214879,12.1477927996811,6.75086364587685e-09,"Symbiochloris reticulata","Lichen-forming",1.26781219269567e-06,"Intensified","Symbiochloris reticulata","Symbiochloris",2.49714749070623,NA,NA,NA
"OG0004266","Sym_ret",12.6620765145389,19.1051109221766,0.000229711282744183,"Symbiochloris reticulata","Lichen-forming",0.00937821280420816,"Intensified","Symbiochloris reticulata","Symbiochloris",2.94995588680593,NA,NA,NA
"OG0004274","Sym_ret",0.95678933629234,2.18139849577995,0.00108770258288748,"Symbiochloris reticulata","Lichen-forming",0.0329468621074628,"Intensified","Symbiochloris reticulata","Symbiochloris",0.779966182945913,"IPR007268","Rad9/Ddc1","GO:0000077|GO:0030896"
"OG0004290","Sym_ret",12.7831279972639,25.2216044729094,0.000144348727123433,"Symbiochloris reticulata","Lichen-forming",0.00753019193160578,"Intensified","Symbiochloris reticulata","Symbiochloris",3.22770094758174,NA,NA,NA
"OG0004307","Sym_ret",17.5456542250664,36.6409016020266,8.71155436676929e-09,"Symbiochloris reticulata","Lichen-forming",1.36335825839939e-06,"Intensified","Symbiochloris reticulata","Symbiochloris",3.60116514654539,"IPR001160","Peptidase M20C, Xaa-His dipeptidase","GO:0006508"
"OG0004467","Sym_ret",6.2547367702256,1.46882842981459,0.00202540601218371,"Symbiochloris reticulata","Lichen-forming",0.0449796331571953,"Intensified","Symbiochloris reticulata","Symbiochloris",0.384465096507357,"IPR004464","Fructose-1,6-bisphosphatase class 2/Sedoheputulose-1,7-bisphosphatase","GO:0006071|GO:0006094|GO:0042132"
"OG0004498","Sym_ret",0.401049245810656,18.9862922061112,0.00267662928134849,"Symbiochloris reticulata","Lichen-forming",0.0483337479843505,"Intensified","Symbiochloris reticulata","Symbiochloris",2.94371725595063,"IPR011604","Exonuclease, phage-type/RecB, C-terminal","GO:0003677|GO:0004518"
"OG0004522","Sym_ret",14.0368763733847,18.0340519581527,0.000117222021746466,"Symbiochloris reticulata","Lichen-forming",0.00647479284823126,"Intensified","Symbiochloris reticulata","Symbiochloris",2.89226174619548,"IPR006000","Xylulokinase","GO:0004856|GO:0005997"
"OG0004615","Sym_ret",1.82475572584721,2.95599101234209,0.00148794798896246,"Symbiochloris reticulata","Lichen-forming",0.0379246297361587,"Intensified","Symbiochloris reticulata","Symbiochloris",1.08383396260166,NA,NA,NA
"OG0004629","Sym_ret",4.9421841188077,1.25139326244435,0.00263851865155784,"Symbiochloris reticulata","Lichen-forming",0.0483337479843505,"Intensified","Symbiochloris reticulata","Symbiochloris",0.224257540553212,NA,NA,NA
"OG0004685","Sym_ret",0.619166537816273,2.71490057970293,0.00177789408347861,"Symbiochloris reticulata","Lichen-forming",0.0407181108386932,"Intensified","Symbiochloris reticulata","Symbiochloris",0.998755333821461,NA,NA,NA
