branch,dN,dS,omega,lnL,SOG,Model
8..1,0.2556,64.9506,0.0039,-12751.547129,OG0003757,M0
8..9,0.0883,22.4282,0.0039,-12751.547129,OG0003757,M0
9..10,0.0466,11.8369,0.0039,-12751.547129,OG0003757,M0
10..11,0.1412,35.8795,0.0039,-12751.547129,OG0003757,M0
11..2,0.1609,40.8862,0.0039,-12751.547129,OG0003757,M0
11..3,0.1472,37.4046,0.0039,-12751.547129,OG0003757,M0
10..12,0.207,52.5968,0.0039,-12751.547129,OG0003757,M0
12..5,0.2492,63.3233,0.0039,-12751.547129,OG0003757,M0
12..6,0.2333,59.288,0.0039,-12751.547129,OG0003757,M0
9..4,0.2143,54.4586,0.0039,-12751.547129,OG0003757,M0
8..7,0.2317,58.894,0.0039,-12751.547129,OG0003757,M0
8..1,0.1532,3.4698,0.0441,-16158.80994,OG0003761,M0
8..9,0.0532,1.205,0.0441,-16158.80994,OG0003761,M0
9..10,0.0443,1.004,0.0441,-16158.80994,OG0003761,M0
10..11,0.0829,1.878,0.0441,-16158.80994,OG0003761,M0
11..2,0.0825,1.8691,0.0441,-16158.80994,OG0003761,M0
11..3,0.0841,1.9058,0.0441,-16158.80994,OG0003761,M0
10..12,0.109,2.4684,0.0441,-16158.80994,OG0003761,M0
12..5,0.1736,3.9325,0.0441,-16158.80994,OG0003761,M0
12..6,0.1518,3.4379,0.0441,-16158.80994,OG0003761,M0
9..4,0.1252,2.8369,0.0441,-16158.80994,OG0003761,M0
8..7,0.2231,5.0538,0.0441,-16158.80994,OG0003761,M0
8..1,0.0827,6.6768,0.0124,-8712.473102,OG0003771,M0
8..9,0.0241,1.9481,0.0124,-8712.473102,OG0003771,M0
9..10,0.0372,3.0044,0.0124,-8712.473102,OG0003771,M0
10..11,0.0513,4.1451,0.0124,-8712.473102,OG0003771,M0
11..2,0.0549,4.4336,0.0124,-8712.473102,OG0003771,M0
11..3,0.069,5.5719,0.0124,-8712.473102,OG0003771,M0
10..4,0.1571,12.6901,0.0124,-8712.473102,OG0003771,M0
9..7,0.1283,10.3649,0.0124,-8712.473102,OG0003771,M0
8..12,0.1015,8.1961,0.0124,-8712.473102,OG0003771,M0
12..5,0.0494,3.9931,0.0124,-8712.473102,OG0003771,M0
12..6,0.04,3.2286,0.0124,-8712.473102,OG0003771,M0
8..1,0.3291,72.8434,0.0045,-9193.976076,OG0003769,M0
8..9,0.0438,9.6857,0.0045,-9193.976076,OG0003769,M0
9..10,0.0475,10.5039,0.0045,-9193.976076,OG0003769,M0
10..11,0.0607,13.4421,0.0045,-9193.976076,OG0003769,M0
11..2,0.0886,19.5984,0.0045,-9193.976076,OG0003769,M0
11..3,0.1015,22.4688,0.0045,-9193.976076,OG0003769,M0
10..4,0.2046,45.2698,0.0045,-9193.976076,OG0003769,M0
9..12,0.1391,30.78,0.0045,-9193.976076,OG0003769,M0
12..5,0.0968,21.4177,0.0045,-9193.976076,OG0003769,M0
12..6,0.1785,39.5129,0.0045,-9193.976076,OG0003769,M0
8..7,0.1941,42.9502,0.0045,-9193.976076,OG0003769,M0
8..1,0.1106,68.8903,0.0016,-3793.145272,OG0003756,M0
8..9,0.034,21.1641,0.0016,-3793.145272,OG0003756,M0
