branch,dN,dS,omega,lnL,SOG,Model
8..1,0.0808,27.2821,0.003,-12599.380593,OG0003751,M0
8..9,0.0334,11.2802,0.003,-12599.380593,OG0003751,M0
9..10,0.0259,8.7459,0.003,-12599.380593,OG0003751,M0
10..11,0.0447,15.0929,0.003,-12599.380593,OG0003751,M0
11..2,0.0408,13.7779,0.003,-12599.380593,OG0003751,M0
11..3,0.0935,31.5722,0.003,-12599.380593,OG0003751,M0
10..12,0.0824,27.8128,0.003,-12599.380593,OG0003751,M0
12..5,0.0747,25.2193,0.003,-12599.380593,OG0003751,M0
12..6,0.0843,28.4703,0.003,-12599.380593,OG0003751,M0
9..4,0.1391,46.9688,0.003,-12599.380593,OG0003751,M0
8..7,0.2192,74.0062,0.003,-12599.380593,OG0003751,M0
8..1,0.2412,79.594,0.003,-6117.076766,OG0003769,M0
8..9,0.0347,11.459,0.003,-6117.076766,OG0003769,M0
9..10,0.0159,5.2536,0.003,-6117.076766,OG0003769,M0
10..11,0.0677,22.3518,0.003,-6117.076766,OG0003769,M0
11..2,0.0869,28.6787,0.003,-6117.076766,OG0003769,M0
11..3,0.1012,33.3763,0.003,-6117.076766,OG0003769,M0
10..4,0.1051,34.6894,0.003,-6117.076766,OG0003769,M0
9..12,0.1008,33.2577,0.003,-6117.076766,OG0003769,M0
12..5,0.1177,38.8399,0.003,-6117.076766,OG0003769,M0
12..6,0.1065,35.1261,0.003,-6117.076766,OG0003769,M0
8..7,0.1048,34.5878,0.003,-6117.076766,OG0003769,M0
8..1,0.1664,3.6329,0.0458,-12776.864013,OG0003764,M0
8..9,0.046,1.0053,0.0458,-12776.864013,OG0003764,M0
9..10,0.0605,1.3219,0.0458,-12776.864013,OG0003764,M0
10..11,0.1025,2.2388,0.0458,-12776.864013,OG0003764,M0
11..2,0.1016,2.2196,0.0458,-12776.864013,OG0003764,M0
11..3,0.1105,2.4122,0.0458,-12776.864013,OG0003764,M0
10..12,0.1561,3.409,0.0458,-12776.864013,OG0003764,M0
12..5,0.1312,2.8646,0.0458,-12776.864013,OG0003764,M0
12..6,0.0936,2.0436,0.0458,-12776.864013,OG0003764,M0
9..4,0.1676,3.66,0.0458,-12776.864013,OG0003764,M0
8..7,0.1839,4.0169,0.0458,-12776.864013,OG0003764,M0
8..1,0.0773,35.5925,0.0022,-8741.987476,OG0003771,M0
8..9,0.0262,12.0811,0.0022,-8741.987476,OG0003771,M0
9..10,0.0361,16.6186,0.0022,-8741.987476,OG0003771,M0
10..11,0.0504,23.1921,0.0022,-8741.987476,OG0003771,M0
11..2,0.0588,27.0539,0.0022,-8741.987476,OG0003771,M0
11..3,0.0688,31.688,0.0022,-8741.987476,OG0003771,M0
10..4,0.1628,74.9449,0.0022,-8741.987476,OG0003771,M0
9..7,0.1222,56.2474,0.0022,-8741.987476,OG0003771,M0
8..12,0.0997,45.8927,0.0022,-8741.987476,OG0003771,M0
12..5,0.0488,22.4777,0.0022,-8741.987476,OG0003771,M0
12..6,0.0406,18.6781,0.0022,-8741.987476,OG0003771,M0
8..1,0.0625,1.3989,0.0447,-12709.041985,OG0003753,M0
8..9,0.0592,1.3267,0.0447,-12709.041985,OG0003753,M0
9..10,0.0549,1.2299,0.0447,-12709.041985,OG0003753,M0
10..11,0.1145,2.5647,0.0447,-12709.041985,OG0003753,M0
11..2,0.0502,1.1249,0.0447,-12709.041985,OG0003753,M0
11..3,0.0795,1.7803,0.0447,-12709.041985,OG0003753,M0
10..12,0.1153,2.5815,0.0447,-12709.041985,OG0003753,M0
12..5,0.1152,2.5791,0.0447,-12709.041985,OG0003753,M0
12..6,0.1118,2.5042,0.0447,-12709.041985,OG0003753,M0
9..4,0.1155,2.5871,0.0447,-12709.041985,OG0003753,M0
8..7,0.3142,7.0358,0.0447,-12709.041985,OG0003753,M0
8..1,0.1201,68.5746,0.0018,-3810.64309,OG0003756,M0
8..9,0.0236,13.506,0.0018,-3810.64309,OG0003756,M0
9..10,0.0228,13.0137,0.0018,-3810.64309,OG0003756,M0
10..11,0.0407,23.2268,0.0018,-3810.64309,OG0003756,M0
11..2,0.0328,18.762,0.0018,-3810.64309,OG0003756,M0
11..3,0.0905,51.6662,0.0018,-3810.64309,OG0003756,M0
10..12,0.0962,54.9472,0.0018,-3810.64309,OG0003756,M0
12..5,0.0928,52.9859,0.0018,-3810.64309,OG0003756,M0
12..6,0.0604,34.4929,0.0018,-3810.64309,OG0003756,M0
9..4,0.0744,42.5045,0.0018,-3810.64309,OG0003756,M0
8..7,0.0583,33.2856,0.0018,-3810.64309,OG0003756,M0
8..1,0.1654,3.249,0.0509,-16787.542045,OG0003761,M0
8..9,0.0537,1.054,0.0509,-16787.542045,OG0003761,M0
9..10,0.0426,0.8363,0.0509,-16787.542045,OG0003761,M0
10..11,0.0847,1.6637,0.0509,-16787.542045,OG0003761,M0
11..2,0.0934,1.8352,0.0509,-16787.542045,OG0003761,M0
11..3,0.0779,1.5295,0.0509,-16787.542045,OG0003761,M0
10..12,0.1188,2.3327,0.0509,-16787.542045,OG0003761,M0
12..5,0.1821,3.5772,0.0509,-16787.542045,OG0003761,M0
12..6,0.1599,3.1407,0.0509,-16787.542045,OG0003761,M0
9..4,0.1389,2.7286,0.0509,-16787.542045,OG0003761,M0
8..7,0.2265,4.4483,0.0509,-16787.542045,OG0003761,M0
8..1,0.2761,61.2303,0.0045,-11821.086421,OG0003757,M0
8..9,0.054,11.9827,0.0045,-11821.086421,OG0003757,M0
9..10,0.0353,7.8205,0.0045,-11821.086421,OG0003757,M0
10..11,0.1556,34.5092,0.0045,-11821.086421,OG0003757,M0
11..2,0.1596,35.392,0.0045,-11821.086421,OG0003757,M0
11..3,0.1369,30.3512,0.0045,-11821.086421,OG0003757,M0
10..12,0.1942,43.0618,0.0045,-11821.086421,OG0003757,M0
12..5,0.246,54.5459,0.0045,-11821.086421,OG0003757,M0
12..6,0.205,45.4637,0.0045,-11821.086421,OG0003757,M0
9..4,0.2389,52.9809,0.0045,-11821.086421,OG0003757,M0
8..7,0.2947,65.3603,0.0045,-11821.086421,OG0003757,M0
8..1,0.0946,1.4574,0.0649,-5523.037102,OG0003806,M0
8..9,0.0277,0.4276,0.0649,-5523.037102,OG0003806,M0
9..10,0.0185,0.2844,0.0649,-5523.037102,OG0003806,M0
10..11,0.0414,0.6374,0.0649,-5523.037102,OG0003806,M0
11..2,0.0724,1.1159,0.0649,-5523.037102,OG0003806,M0
11..3,0.0673,1.0372,0.0649,-5523.037102,OG0003806,M0
10..12,0.0689,1.0622,0.0649,-5523.037102,OG0003806,M0
12..5,0.0541,0.8337,0.0649,-5523.037102,OG0003806,M0
12..6,0.0451,0.6943,0.0649,-5523.037102,OG0003806,M0
9..4,0.0486,0.7495,0.0649,-5523.037102,OG0003806,M0
8..7,0.0731,1.1259,0.0649,-5523.037102,OG0003806,M0
8..1,0.3341,53.341,0.0063,-7521.035181,OG0003809,M0
8..9,0.1252,19.9796,0.0063,-7521.035181,OG0003809,M0
9..10,0.0659,10.5225,0.0063,-7521.035181,OG0003809,M0
10..11,0.1787,28.5328,0.0063,-7521.035181,OG0003809,M0
11..2,0.1976,31.5389,0.0063,-7521.035181,OG0003809,M0
11..3,0.3072,49.0446,0.0063,-7521.035181,OG0003809,M0
10..12,0.1915,30.5669,0.0063,-7521.035181,OG0003809,M0
12..5,0.3222,51.442,0.0063,-7521.035181,OG0003809,M0
12..6,0.2867,45.7642,0.0063,-7521.035181,OG0003809,M0
9..4,0.3395,54.1992,0.0063,-7521.035181,OG0003809,M0
8..7,0.3782,60.3838,0.0063,-7521.035181,OG0003809,M0
8..1,0.104,0.9338,0.1114,-5775.135574,OG0003810,M0
8..9,0.0489,0.4386,0.1114,-5775.135574,OG0003810,M0
9..10,0.0241,0.2167,0.1114,-5775.135574,OG0003810,M0
10..2,0.0668,0.5995,0.1114,-5775.135574,OG0003810,M0
10..11,0.026,0.2334,0.1114,-5775.135574,OG0003810,M0
11..3,0.054,0.485,0.1114,-5775.135574,OG0003810,M0
11..12,0.0754,0.6769,0.1114,-5775.135574,OG0003810,M0
12..5,0.0751,0.6743,0.1114,-5775.135574,OG0003810,M0
12..6,0.0866,0.7776,0.1114,-5775.135574,OG0003810,M0
9..4,0.0684,0.6142,0.1114,-5775.135574,OG0003810,M0
8..7,0.1238,1.1117,0.1114,-5775.135574,OG0003810,M0
8..1,0.1107,1.5754,0.0703,-6085.52778,OG0003775,M0
8..9,0.0334,0.4746,0.0703,-6085.52778,OG0003775,M0
9..10,0.0561,0.7985,0.0703,-6085.52778,OG0003775,M0
10..11,0.0628,0.8941,0.0703,-6085.52778,OG0003775,M0
11..2,0.0934,1.3293,0.0703,-6085.52778,OG0003775,M0
11..3,0.1353,1.925,0.0703,-6085.52778,OG0003775,M0
10..12,0.0666,0.9476,0.0703,-6085.52778,OG0003775,M0
12..5,0.1117,1.5895,0.0703,-6085.52778,OG0003775,M0
12..6,0.0979,1.3932,0.0703,-6085.52778,OG0003775,M0
9..7,0.1059,1.5063,0.0703,-6085.52778,OG0003775,M0
8..4,0.1579,2.2468,0.0703,-6085.52778,OG0003775,M0
8..1,0.3317,4.3999,0.0754,-9322.825435,OG0003811,M0
8..9,0.059,0.7824,0.0754,-9322.825435,OG0003811,M0
9..10,0.038,0.5043,0.0754,-9322.825435,OG0003811,M0
10..11,0.071,0.9414,0.0754,-9322.825435,OG0003811,M0
11..2,0.1019,1.3522,0.0754,-9322.825435,OG0003811,M0
11..3,0.1543,2.0469,0.0754,-9322.825435,OG0003811,M0
10..12,0.1566,2.0772,0.0754,-9322.825435,OG0003811,M0
12..5,0.1162,1.5422,0.0754,-9322.825435,OG0003811,M0
12..6,0.1344,1.7828,0.0754,-9322.825435,OG0003811,M0
9..4,0.1431,1.8986,0.0754,-9322.825435,OG0003811,M0
8..7,0.2166,2.8735,0.0754,-9322.825435,OG0003811,M0
8..1,0.0821,1.5591,0.0527,-17283.255719,OG0003808,M0
8..9,0.0361,0.685,0.0527,-17283.255719,OG0003808,M0
9..10,0.014,0.265,0.0527,-17283.255719,OG0003808,M0
10..11,0.0303,0.5755,0.0527,-17283.255719,OG0003808,M0
11..2,0.0345,0.6544,0.0527,-17283.255719,OG0003808,M0
11..3,0.0563,1.0685,0.0527,-17283.255719,OG0003808,M0
10..4,0.0462,0.8768,0.0527,-17283.255719,OG0003808,M0
9..12,0.0401,0.7603,0.0527,-17283.255719,OG0003808,M0
12..5,0.0394,0.7487,0.0527,-17283.255719,OG0003808,M0
12..6,0.0522,0.9908,0.0527,-17283.255719,OG0003808,M0
8..7,0.0701,1.3315,0.0527,-17283.255719,OG0003808,M0
8..1,0.1505,55.3451,0.0027,-6619.070266,OG0003805,M0
8..9,0.0762,28.0351,0.0027,-6619.070266,OG0003805,M0
9..10,0.116,42.6548,0.0027,-6619.070266,OG0003805,M0
10..2,0.0868,31.9135,0.0027,-6619.070266,OG0003805,M0
10..3,0.0921,33.8819,0.0027,-6619.070266,OG0003805,M0
9..11,0.0379,13.9481,0.0027,-6619.070266,OG0003805,M0
11..4,0.1426,52.4333,0.0027,-6619.070266,OG0003805,M0
11..12,0.187,68.7432,0.0027,-6619.070266,OG0003805,M0
12..5,0.1059,38.9497,0.0027,-6619.070266,OG0003805,M0
12..6,0.1475,54.2475,0.0027,-6619.070266,OG0003805,M0
8..7,0.1192,43.8465,0.0027,-6619.070266,OG0003805,M0
8..1,0.1653,73.5302,0.0022,-15659.885141,OG0003798,M0
8..9,0.0458,20.3661,0.0022,-15659.885141,OG0003798,M0
9..10,0.0237,10.5332,0.0022,-15659.885141,OG0003798,M0
10..11,0.0953,42.3771,0.0022,-15659.885141,OG0003798,M0
11..2,0.1096,48.7261,0.0022,-15659.885141,OG0003798,M0
11..3,0.1321,58.7612,0.0022,-15659.885141,OG0003798,M0
10..12,0.1634,72.6722,0.0022,-15659.885141,OG0003798,M0
12..5,0.1156,51.4165,0.0022,-15659.885141,OG0003798,M0
12..6,0.1161,51.631,0.0022,-15659.885141,OG0003798,M0
9..4,0.162,72.0698,0.0022,-15659.885141,OG0003798,M0
8..7,0.1391,61.8606,0.0022,-15659.885141,OG0003798,M0
8..1,0.1761,2.0263,0.0869,-5847.306302,OG0003800,M0
8..9,0.0643,0.7398,0.0869,-5847.306302,OG0003800,M0
9..10,0.0416,0.4786,0.0869,-5847.306302,OG0003800,M0
10..11,0.1439,1.6552,0.0869,-5847.306302,OG0003800,M0
11..2,0.1337,1.5388,0.0869,-5847.306302,OG0003800,M0
11..3,0.1276,1.4681,0.0869,-5847.306302,OG0003800,M0
10..4,0.2302,2.6485,0.0869,-5847.306302,OG0003800,M0
9..12,0.1502,1.7278,0.0869,-5847.306302,OG0003800,M0
12..5,0.2546,2.929,0.0869,-5847.306302,OG0003800,M0
