branch,dN,dS,omega,lnL,SOG,Model
8..1,0.3124,68.8392,0.0045,-5646.08154,OG0003372,M0
8..9,0.1296,28.5635,0.0045,-5646.08154,OG0003372,M0
9..10,0.0694,15.3005,0.0045,-5646.08154,OG0003372,M0
10..11,0.121,26.6612,0.0045,-5646.08154,OG0003372,M0
11..2,0.1793,39.5073,0.0045,-5646.08154,OG0003372,M0
11..3,0.202,44.4996,0.0045,-5646.08154,OG0003372,M0
10..12,0.298,65.6549,0.0045,-5646.08154,OG0003372,M0
12..5,0.2528,55.7095,0.0045,-5646.08154,OG0003372,M0
12..6,0.3013,66.3924,0.0045,-5646.08154,OG0003372,M0
9..4,0.2668,58.7995,0.0045,-5646.08154,OG0003372,M0
8..7,0.2677,58.9977,0.0045,-5646.08154,OG0003372,M0
8..1,0.1771,64.5551,0.0027,-14258.632216,OG0003370,M0
8..9,0.0761,27.726,0.0027,-14258.632216,OG0003370,M0
9..10,0.0283,10.3137,0.0027,-14258.632216,OG0003370,M0
10..11,0.116,42.2701,0.0027,-14258.632216,OG0003370,M0
11..2,0.0879,32.0274,0.0027,-14258.632216,OG0003370,M0
11..3,0.1117,40.7194,0.0027,-14258.632216,OG0003370,M0
10..12,0.1148,41.8371,0.0027,-14258.632216,OG0003370,M0
12..5,0.0902,32.8576,0.0027,-14258.632216,OG0003370,M0
12..6,0.0774,28.2004,0.0027,-14258.632216,OG0003370,M0
9..4,0.2115,77.1022,0.0027,-14258.632216,OG0003370,M0
8..7,0.1873,68.2707,0.0027,-14258.632216,OG0003370,M0
8..1,0.0847,1.4965,0.0566,-8353.797087,OG0003374,M0
8..9,0.0401,0.7094,0.0566,-8353.797087,OG0003374,M0
9..10,0.0304,0.5364,0.0566,-8353.797087,OG0003374,M0
10..11,0.0694,1.2258,0.0566,-8353.797087,OG0003374,M0
11..2,0.0415,0.7334,0.0566,-8353.797087,OG0003374,M0
11..3,0.0709,1.2532,0.0566,-8353.797087,OG0003374,M0
10..12,0.1042,1.8411,0.0566,-8353.797087,OG0003374,M0
12..5,0.074,1.3075,0.0566,-8353.797087,OG0003374,M0
12..6,0.0939,1.66,0.0566,-8353.797087,OG0003374,M0
9..4,0.0703,1.2416,0.0566,-8353.797087,OG0003374,M0
8..7,0.0941,1.6631,0.0566,-8353.797087,OG0003374,M0
8..1,0.1902,66.4427,0.0029,-3971.580138,OG0003378,M0
8..9,0.0423,14.7641,0.0029,-3971.580138,OG0003378,M0
9..10,0.0577,20.1598,0.0029,-3971.580138,OG0003378,M0
10..2,0.0395,13.7921,0.0029,-3971.580138,OG0003378,M0
10..3,0.0517,18.0694,0.0029,-3971.580138,OG0003378,M0
9..11,0.1098,38.3475,0.0029,-3971.580138,OG0003378,M0
11..5,0.0566,19.7573,0.0029,-3971.580138,OG0003378,M0
11..6,0.0543,18.9606,0.0029,-3971.580138,OG0003378,M0
8..12,0.0349,12.2052,0.0029,-3971.580138,OG0003378,M0
12..4,0.0871,30.4162,0.0029,-3971.580138,OG0003378,M0
12..7,0.1117,39.0046,0.0029,-3971.580138,OG0003378,M0
8..1,0.1132,39.7355,0.0028,-12124.044557,OG0003386,M0
8..9,0.0238,8.3495,0.0028,-12124.044557,OG0003386,M0
9..10,0.0501,17.5885,0.0028,-12124.044557,OG0003386,M0
10..2,0.0559,19.6146,0.0028,-12124.044557,OG0003386,M0
10..3,0.0791,27.7677,0.0028,-12124.044557,OG0003386,M0
9..4,0.0756,26.5417,0.0028,-12124.044557,OG0003386,M0
8..11,0.0114,3.9984,0.0028,-12124.044557,OG0003386,M0
11..12,0.0937,32.8876,0.0028,-12124.044557,OG0003386,M0
12..5,0.0648,22.7573,0.0028,-12124.044557,OG0003386,M0
12..6,0.0624,21.9006,0.0028,-12124.044557,OG0003386,M0
11..7,0.0944,33.1441,0.0028,-12124.044557,OG0003386,M0
8..1,0.2806,20.4713,0.0137,-5431.681846,OG0003388,M0
8..9,0.0904,6.5958,0.0137,-5431.681846,OG0003388,M0
9..10,0.0891,6.504,0.0137,-5431.681846,OG0003388,M0
10..11,0.0616,4.4923,0.0137,-5431.681846,OG0003388,M0
11..2,0.0631,4.6026,0.0137,-5431.681846,OG0003388,M0
11..3,0.0824,6.0133,0.0137,-5431.681846,OG0003388,M0
10..12,0.1476,10.7682,0.0137,-5431.681846,OG0003388,M0
12..5,0.0763,5.5673,0.0137,-5431.681846,OG0003388,M0
12..6,0.1084,7.9104,0.0137,-5431.681846,OG0003388,M0
9..4,0.1718,12.5355,0.0137,-5431.681846,OG0003388,M0
8..7,0.1475,10.7623,0.0137,-5431.681846,OG0003388,M0
8..1,0.2495,65.6306,0.0038,-12146.066576,OG0003382,M0
8..9,0.0843,22.1828,0.0038,-12146.066576,OG0003382,M0
9..10,0.0387,10.1747,0.0038,-12146.066576,OG0003382,M0
10..11,0.1252,32.9312,0.0038,-12146.066576,OG0003382,M0
11..2,0.1432,37.6795,0.0038,-12146.066576,OG0003382,M0
11..3,0.1476,38.8321,0.0038,-12146.066576,OG0003382,M0
10..12,0.2113,55.5825,0.0038,-12146.066576,OG0003382,M0
12..5,0.2464,64.8132,0.0038,-12146.066576,OG0003382,M0
12..6,0.2204,57.9715,0.0038,-12146.066576,OG0003382,M0
9..4,0.2402,63.1917,0.0038,-12146.066576,OG0003382,M0
8..7,0.1971,51.8558,0.0038,-12146.066576,OG0003382,M0
8..1,0.4229,76.1577,0.0056,-6973.917294,OG0003387,M0
8..9,0.2361,42.523,0.0056,-6973.917294,OG0003387,M0
9..10,0.089,16.0205,0.0056,-6973.917294,OG0003387,M0
10..11,0.2291,41.2554,0.0056,-6973.917294,OG0003387,M0
11..2,0.1022,18.4031,0.0056,-6973.917294,OG0003387,M0
11..3,0.1744,31.4077,0.0056,-6973.917294,OG0003387,M0
10..12,0.2538,45.7055,0.0056,-6973.917294,OG0003387,M0
12..5,0.1731,31.178,0.0056,-6973.917294,OG0003387,M0
12..6,0.1662,29.9252,0.0056,-6973.917294,OG0003387,M0
9..4,0.297,53.4764,0.0056,-6973.917294,OG0003387,M0
8..7,0.3405,61.3128,0.0056,-6973.917294,OG0003387,M0
8..1,0.3125,60.649,0.0052,-5265.169822,OG0003439,M0
8..9,0.0509,9.8697,0.0052,-5265.169822,OG0003439,M0
9..10,0.069,13.3913,0.0052,-5265.169822,OG0003439,M0
10..2,0.1302,25.2746,0.0052,-5265.169822,OG0003439,M0
10..3,0.1266,24.5758,0.0052,-5265.169822,OG0003439,M0
9..11,0.1594,30.937,0.0052,-5265.169822,OG0003439,M0
11..5,0.0766,14.8606,0.0052,-5265.169822,OG0003439,M0
11..6,0.1178,22.8602,0.0052,-5265.169822,OG0003439,M0
8..12,0.0496,9.6312,0.0052,-5265.169822,OG0003439,M0
12..4,0.0641,12.4404,0.0052,-5265.169822,OG0003439,M0
12..7,0.2346,45.5238,0.0052,-5265.169822,OG0003439,M0
8..1,0.0767,2.4508,0.0313,-3228.270037,OG0003383,M0
8..9,0.037,1.1834,0.0313,-3228.270037,OG0003383,M0
9..10,0.0267,0.8541,0.0313,-3228.270037,OG0003383,M0
10..11,0.0657,2.1003,0.0313,-3228.270037,OG0003383,M0
11..2,0.0486,1.5533,0.0313,-3228.270037,OG0003383,M0
11..3,0.077,2.4623,0.0313,-3228.270037,OG0003383,M0
10..12,0.0382,1.2205,0.0313,-3228.270037,OG0003383,M0
12..5,0.0876,2.8023,0.0313,-3228.270037,OG0003383,M0
12..6,0.0601,1.922,0.0313,-3228.270037,OG0003383,M0
9..4,0.0615,1.9667,0.0313,-3228.270037,OG0003383,M0
8..7,0.1003,3.2055,0.0313,-3228.270037,OG0003383,M0
8..1,0.1558,1.6264,0.0958,-7724.920146,OG0003424,M0
8..9,0.0401,0.4184,0.0958,-7724.920146,OG0003424,M0
9..10,0.0426,0.4449,0.0958,-7724.920146,OG0003424,M0
10..11,0.1486,1.5515,0.0958,-7724.920146,OG0003424,M0
11..2,0.1191,1.2432,0.0958,-7724.920146,OG0003424,M0
11..3,0.1284,1.3399,0.0958,-7724.920146,OG0003424,M0
10..7,0.3614,3.772,0.0958,-7724.920146,OG0003424,M0
9..12,0.1634,1.705,0.0958,-7724.920146,OG0003424,M0
12..5,0.1808,1.887,0.0958,-7724.920146,OG0003424,M0
12..6,0.1291,1.3477,0.0958,-7724.920146,OG0003424,M0
8..4,0.3722,3.8843,0.0958,-7724.920146,OG0003424,M0
8..1,0.1814,4.0685,0.0446,-12802.28187,OG0003393,M0
8..9,0.0473,1.06,0.0446,-12802.28187,OG0003393,M0
9..10,0.0567,1.2713,0.0446,-12802.28187,OG0003393,M0
10..11,0.1027,2.3047,0.0446,-12802.28187,OG0003393,M0
11..2,0.1007,2.2584,0.0446,-12802.28187,OG0003393,M0
11..3,0.1122,2.5156,0.0446,-12802.28187,OG0003393,M0
10..12,0.151,3.3861,0.0446,-12802.28187,OG0003393,M0
12..5,0.1322,2.9655,0.0446,-12802.28187,OG0003393,M0
12..6,0.094,2.1076,0.0446,-12802.28187,OG0003393,M0
9..4,0.176,3.9487,0.0446,-12802.28187,OG0003393,M0
8..7,0.164,3.6787,0.0446,-12802.28187,OG0003393,M0
8..1,0.2337,4.1899,0.0558,-6272.498531,OG0003391,M0
8..9,0.0658,1.1792,0.0558,-6272.498531,OG0003391,M0
9..10,0.1076,1.9296,0.0558,-6272.498531,OG0003391,M0
10..2,0.1219,2.1851,0.0558,-6272.498531,OG0003391,M0
10..3,0.0994,1.7823,0.0558,-6272.498531,OG0003391,M0
9..11,0.1173,2.1024,0.0558,-6272.498531,OG0003391,M0
11..5,0.1614,2.8942,0.0558,-6272.498531,OG0003391,M0
11..6,0.1461,2.6194,0.0558,-6272.498531,OG0003391,M0
8..12,0.0157,0.2814,0.0558,-6272.498531,OG0003391,M0
12..4,0.1778,3.187,0.0558,-6272.498531,OG0003391,M0
12..7,0.206,3.6931,0.0558,-6272.498531,OG0003391,M0
8..1,0.1314,2.7483,0.0478,-3603.379698,OG0003396,M0
8..9,0.0451,0.9434,0.0478,-3603.379698,OG0003396,M0
9..10,0.0538,1.1251,0.0478,-3603.379698,OG0003396,M0
10..11,0.0609,1.2749,0.0478,-3603.379698,OG0003396,M0
11..2,0.1168,2.4436,0.0478,-3603.379698,OG0003396,M0
11..3,0.0869,1.8183,0.0478,-3603.379698,OG0003396,M0
10..12,0.1827,3.8212,0.0478,-3603.379698,OG0003396,M0
12..5,0.0899,1.8816,0.0478,-3603.379698,OG0003396,M0
12..6,0.0927,1.9394,0.0478,-3603.379698,OG0003396,M0
9..4,0.116,2.4266,0.0478,-3603.379698,OG0003396,M0
8..7,0.1768,3.6985,0.0478,-3603.379698,OG0003396,M0
8..1,0.2503,67.7944,0.0037,-3981.253284,OG0003423,M0
8..9,0.0756,20.4705,0.0037,-3981.253284,OG0003423,M0
9..10,0.0721,19.5186,0.0037,-3981.253284,OG0003423,M0
10..11,0.0891,24.1404,0.0037,-3981.253284,OG0003423,M0
11..2,0.1351,36.5965,0.0037,-3981.253284,OG0003423,M0
11..3,0.1523,41.2436,0.0037,-3981.253284,OG0003423,M0
10..12,0.1389,37.6279,0.0037,-3981.253284,OG0003423,M0
12..5,0.2111,57.1728,0.0037,-3981.253284,OG0003423,M0
12..6,0.0985,26.689,0.0037,-3981.253284,OG0003423,M0
9..4,0.2176,58.9396,0.0037,-3981.253284,OG0003423,M0
8..7,0.1758,47.6074,0.0037,-3981.253284,OG0003423,M0
8..1,0.3301,3.9269,0.0841,-20007.004636,OG0003420,M0
8..9,0.0562,0.668,0.0841,-20007.004636,OG0003420,M0
9..10,0.0325,0.387,0.0841,-20007.004636,OG0003420,M0
10..11,0.151,1.7959,0.0841,-20007.004636,OG0003420,M0
11..2,0.1182,1.4055,0.0841,-20007.004636,OG0003420,M0
11..3,0.2125,2.528,0.0841,-20007.004636,OG0003420,M0
10..4,0.1443,1.7169,0.0841,-20007.004636,OG0003420,M0
9..12,0.1444,1.7175,0.0841,-20007.004636,OG0003420,M0
12..5,0.111,1.3204,0.0841,-20007.004636,OG0003420,M0
12..6,0.1182,1.406,0.0841,-20007.004636,OG0003420,M0
8..7,0.1897,2.257,0.0841,-20007.004636,OG0003420,M0
8..1,0.1729,3.4078,0.0507,-16495.521801,OG0003390,M0
8..9,0.0563,1.11,0.0507,-16495.521801,OG0003390,M0
9..10,0.0348,0.6851,0.0507,-16495.521801,OG0003390,M0
10..11,0.0865,1.7039,0.0507,-16495.521801,OG0003390,M0
11..2,0.0871,1.7162,0.0507,-16495.521801,OG0003390,M0
11..3,0.0795,1.5671,0.0507,-16495.521801,OG0003390,M0
10..12,0.1129,2.2256,0.0507,-16495.521801,OG0003390,M0
12..5,0.1838,3.622,0.0507,-16495.521801,OG0003390,M0
12..6,0.154,3.0345,0.0507,-16495.521801,OG0003390,M0
9..4,0.1426,2.8092,0.0507,-16495.521801,OG0003390,M0
8..7,0.2114,4.1648,0.0507,-16495.521801,OG0003390,M0
8..1,0.0684,1.4332,0.0477,-2508.304087,OG0003415,M0
8..9,0.0593,1.2416,0.0477,-2508.304087,OG0003415,M0
9..10,0.0336,0.7048,0.0477,-2508.304087,OG0003415,M0
10..11,0.0288,0.6032,0.0477,-2508.304087,OG0003415,M0
11..2,0.0476,0.9971,0.0477,-2508.304087,OG0003415,M0
11..3,0.0642,1.3453,0.0477,-2508.304087,OG0003415,M0
10..4,0.1095,2.2931,0.0477,-2508.304087,OG0003415,M0
9..12,0.0271,0.5686,0.0477,-2508.304087,OG0003415,M0
12..5,0.04,0.8382,0.0477,-2508.304087,OG0003415,M0
12..6,0.0334,0.7001,0.0477,-2508.304087,OG0003415,M0
8..7,0.0881,1.8462,0.0477,-2508.304087,OG0003415,M0
8..1,0.1567,59.7197,0.0026,-5621.263417,OG0003397,M0
8..9,0.0298,11.367,0.0026,-5621.263417,OG0003397,M0
9..10,0.0846,32.2514,0.0026,-5621.263417,OG0003397,M0
10..11,0.1001,38.1693,0.0026,-5621.263417,OG0003397,M0
11..2,0.0681,25.967,0.0026,-5621.263417,OG0003397,M0
11..3,0.0868,33.0898,0.0026,-5621.263417,OG0003397,M0
10..12,0.0494,18.8382,0.0026,-5621.263417,OG0003397,M0
12..5,0.1037,39.5115,0.0026,-5621.263417,OG0003397,M0
12..6,0.0866,32.9946,0.0026,-5621.263417,OG0003397,M0
9..4,0.1815,69.1667,0.0026,-5621.263417,OG0003397,M0
8..7,0.1327,50.5655,0.0026,-5621.263417,OG0003397,M0
8..1,0.2727,66.8466,0.0041,-7572.119154,OG0003426,M0
8..9,0.0812,19.9183,0.0041,-7572.119154,OG0003426,M0
